,City Name,City Latitude,City Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,City Country,City Datetime
0,Thompson,55.74,-97.86,8.6,84,90,13.87,CA,-21600
1,Mackay,-21.15,149.2,78.8,88,75,9.17,AU,36000
2,Saint George,37.1,-113.58,39.99,80,90,1.9,US,-25200
3,Rafai,4.95,23.92,69.89,53,100,1.88,CF,3600
4,Cape Town,-33.93,18.42,62.01,82,75,5.82,ZA,7200
5,Manta,-0.95,-80.73,75.2,83,75,11.41,EC,-18000
6,Ancud,-41.87,-73.82,61.0,93,0,11.41,CL,-10800
7,Busselton,-33.65,115.33,86.16,24,31,1.45,AU,28800
8,Pontianak,-0.03,109.33,86.47,65,76,2.71,ID,25200
9,Dikson,73.51,80.55,-26.16,86,66,8.61,RU,25200
10,Faanui,-16.48,-151.75,81.05,71,57,7.4,PF,-36000
11,Rikitea,-23.12,-134.97,78.96,78,100,15.32,PF,-32400
12,Jamestown,42.1,-79.24,28.0,92,90,10.29,US,-18000
13,Kapaa,22.08,-159.32,78.8,69,40,3.36,US,-36000
14,Ushuaia,-54.8,-68.3,46.4,87,75,5.82,AR,-10800
15,Georgetown,5.41,100.34,87.8,66,20,5.82,MY,28800
16,Victoria,22.29,114.16,73.99,68,6,1.01,HK,28800
17,Castro,-24.79,-50.01,62.83,95,48,3.47,BR,-10800
18,Vao,-22.67,167.48,77.58,80,30,20.07,NC,39600
19,Zlobin,45.29,14.65,48.99,83,90,8.99,HR,3600
20,Tasiilaq,65.61,-37.64,30.2,86,100,6.93,GL,-10800
21,Atuona,-9.8,-139.03,78.87,73,3,15.39,PF,-34200
22,Mar Del Plata,-38.0,-57.56,69.01,93,75,4.7,AR,-10800
23,Puerto Ayora,-0.74,-90.35,73.0,94,66,3.0,EC,-21600
24,Kroya,-7.63,109.25,72.0,71,19,5.7,ID,25200
25,New Norfolk,-42.78,147.06,69.8,46,75,11.41,AU,39600
26,Kenai,60.55,-151.26,30.2,92,20,7.02,US,-32400
27,Changji,44.02,87.32,-2.2,84,75,3.33,CN,28800
28,East London,-33.02,27.91,68.0,88,0,4.7,ZA,7200
29,Turukhansk,65.82,87.98,-25.26,80,20,10.31,RU,25200
30,Road Town,18.42,-64.62,78.8,78,20,9.17,VG,-14400
31,Abu Kamal,34.45,40.92,45.28,52,0,1.14,SY,7200
32,Kashi,39.45,75.98,19.4,79,90,4.47,CN,28800
33,Hobart,-42.88,147.33,69.8,46,75,11.41,AU,39600
34,Saint-Philippe,-21.36,55.77,82.4,61,0,20.8,RE,14400
35,Sitka,57.05,-135.33,44.6,56,90,16.11,US,-32400
36,Lebu,-37.62,-73.65,55.83,93,18,1.9,CL,-10800
37,Den Helder,52.96,4.76,39.99,93,90,10.29,NL,3600
38,Barrow,71.29,-156.79,-0.4,77,90,12.75,US,-32400
39,Yellowknife,62.46,-114.35,3.2,84,90,6.93,CA,-25200
40,Chokurdakh,70.63,147.92,-37.98,84,30,3.44,RU,39600
41,Mataura,-46.19,168.86,69.01,51,51,10.0,NZ,46800
42,Ximei,24.96,118.38,73.4,60,0,4.47,CN,28800
43,Ponta Do Sol,32.67,-17.1,60.8,55,75,10.29,PT,0
44,Nenjiang,49.18,125.22,-7.49,83,31,5.73,CN,28800
45,Rosetown,51.55,-108.0,-2.2,77,30,8.05,CA,-21600
46,Hasaki,35.73,140.83,53.6,50,75,5.82,JP,32400
47,Nikolskoye,59.7,30.79,28.4,74,90,13.42,RU,10800
48,Leningradskiy,69.38,178.42,-10.17,84,69,3.53,RU,43200
49,Clifton Springs,-38.15,144.57,72.0,49,0,12.75,AU,39600
50,San Patricio,28.02,-97.52,69.8,83,20,16.11,US,-21600
51,Cicevac,43.72,21.44,53.6,50,0,6.93,RS,3600
52,Belyy Yar,53.6,91.39,-22.0,74,0,2.24,RU,25200
53,Torbay,47.67,-52.73,24.8,85,20,5.82,CA,-12600
54,Kavieng,-2.57,150.8,86.34,61,98,8.7,PG,36000
55,Galveston,29.37,-94.97,64.99,77,20,14.99,US,-21600
56,Souillac,-20.52,57.52,80.6,69,40,11.41,MU,14400
57,Tuktoyaktuk,69.45,-133.04,-5.8,83,90,2.24,CA,-25200
58,Ribeira Grande,38.52,-28.7,57.22,73,100,18.39,PT,-3600
59,Montrose,38.42,-108.27,33.01,93,99,1.99,US,-25200
60,Wanning,18.8,110.4,77.81,71,0,7.16,CN,28800
61,Geraldton,-28.77,114.6,93.2,28,0,20.8,AU,28800
62,Vallenar,-28.57,-70.76,60.75,67,0,2.91,CL,-10800
63,Biltine,14.53,20.92,68.76,24,0,10.29,TD,3600
64,Raudeberg,61.99,5.14,39.99,74,68,7.47,NO,3600
65,Solnechnyy,50.72,136.63,-11.58,79,19,3.89,RU,36000
66,Arraial Do Cabo,-22.97,-42.03,77.0,83,40,10.29,BR,-10800
67,Cayenne,4.93,-52.33,75.2,100,40,1.12,GF,-10800
68,La Grande,45.32,-118.09,19.4,92,1,2.19,US,-28800
69,Simbahan,6.3,120.58,82.51,76,97,3.8,PH,28800
70,Priargunsk,50.37,119.1,-17.23,82,65,2.66,RU,32400
71,Dumas,35.87,-101.97,35.6,64,90,9.17,US,-21600
72,San Cristobal,7.77,-72.22,63.54,91,27,2.42,VE,-14400
73,Avarua,-21.21,-159.78,82.4,74,75,9.17,CK,-36000
74,Pisco,-13.7,-76.22,68.0,88,90,8.05,PE,-18000
75,Punta Arenas,-53.15,-70.92,48.2,76,97,9.17,CL,-10800
76,Harrismith,-28.27,29.13,62.71,83,17,3.11,ZA,7200
77,Laguna,38.42,-121.42,48.0,87,1,1.66,US,-28800
78,Pueblo,38.25,-104.61,33.8,86,90,9.17,US,-25200
79,Rumford,44.55,-70.55,35.01,94,16,1.01,US,-18000
80,Saskylakh,71.92,114.08,-16.01,87,100,19.98,RU,32400
81,Praia,14.92,-23.51,73.4,83,75,13.87,CV,-3600
82,Bethel,41.37,-73.41,39.2,69,1,6.93,US,-18000
83,Madison,34.73,-86.57,46.0,81,75,9.17,US,-21600
84,Koulikoro,14.0,-7.75,67.95,29,4,7.25,ML,0
85,Pangai,-19.8,-174.35,78.8,94,75,2.24,TO,46800
86,Mahibadhoo,3.78,72.97,82.29,73,0,9.57,MV,18000
87,Grindavik,63.84,-22.43,32.0,87,75,1.12,IS,0
88,Srandakan,-7.94,110.25,86.16,66,6,10.69,ID,25200
89,Dongkan,34.0,119.83,33.21,94,100,25.12,CN,28800
90,Albany,42.6,-73.97,37.4,59,90,8.05,US,-18000
91,Port Shepstone,-30.74,30.45,70.84,84,1,3.2,ZA,7200
92,Hithadhoo,-0.6,73.08,82.44,76,9,11.7,MV,18000
93,Alofi,-19.06,-169.92,82.4,83,75,5.82,NU,-39600
94,Kodiak,57.79,-152.41,30.2,92,1,6.11,US,-32400
95,Zunyi,27.69,106.91,43.02,80,100,8.7,CN,28800
96,Hermanus,-34.42,19.23,64.0,87,92,5.41,ZA,7200
97,Central Point,42.38,-122.92,39.2,64,1,2.3,US,-28800
98,Vernon,50.26,-119.27,32.0,93,87,1.81,CA,-28800
99,Kearney,40.7,-99.08,28.4,86,90,14.99,US,-21600
100,Kaitangata,-46.28,169.85,60.01,73,58,18.01,NZ,46800
101,Khatanga,71.97,102.5,-32.13,83,83,14.81,RU,25200
102,Jaisalmer,26.91,70.92,52.09,45,0,11.48,IN,19800
103,Narsaq,60.92,-46.05,28.4,74,60,6.93,GL,-10800
104,Talnakh,69.49,88.4,-23.8,74,0,4.47,RU,25200
105,Malartic,48.13,-78.13,5.0,84,90,6.93,CA,-18000
106,Kibaya,-5.3,36.57,58.46,97,97,3.09,TZ,10800
107,Biak,-0.91,122.88,82.99,72,100,0.58,ID,28800
108,Saldanha,-33.01,17.94,55.4,82,0,7.96,ZA,7200
109,Charters Towers,-20.1,146.27,75.83,81,99,9.71,AU,36000
